0.9860 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
46.4030 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FDCEA75FD0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001FDCEA54978>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=1, size=array([1920, 1080]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
46.4039 	EXP 	window1: mouseVisible = True
46.4040 	EXP 	window1: recordFrameIntervals = False
46.5692 	EXP 	window1: recordFrameIntervals = True
46.7527 	EXP 	window1: recordFrameIntervals = False
46.9978 	EXP 	Created cue_hand = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='cue_hand', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.8, 0.8]), texRes=128.0, units='height', win=Window(...))
47.0028 	EXP 	Created cue_movement = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='cue_movement', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
47.0224 	EXP 	Created target = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, image='images/target.png', interpolate=True, mask=None, maskParams=None, name='target', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.5, 0.5]), texRes=128.0, units='height', win=Window(...))
47.1519 	EXP 	Imported conditions.xlsx as conditions, 400 conditions, 8 params
47.1536 	EXP 	Created sequence: fullRandom, trialTypes=400, nReps=1, seed=None
47.1540 	EXP 	New trial (rep=0, index=0): {'cue_file_hand': 'images/hand_left.png', 'hand_x': -0.5, 'cue_file_movement': 'images/arrow_up.png', 'movement_y': 0.25, 'target_x': -0.5, 'target_y': 0.25, 'is_valid': 'both', 'correct_key': 'right'}
47.3253 	EXP 	cue_hand: pos = array([-0.5,  0. ])
47.3253 	EXP 	cue_hand: image = 'images/hand_left.png'
47.3253 	EXP 	cue_movement: pos = array([0.  , 0.25])
47.3253 	EXP 	cue_movement: image = 'images/arrow_up.png'
47.3253 	EXP 	target: pos = array([-0.5 ,  0.25])
47.5692 	EXP 	cue_hand: autoDraw = True
47.8692 	EXP 	cue_hand: autoDraw = False
48.1693 	EXP 	cue_movement: autoDraw = True
48.4692 	EXP 	cue_movement: autoDraw = False
48.7692 	EXP 	target: autoDraw = True
49.1570 	EXP 	New trial (rep=0, index=1): {'cue_file_hand': 'images/hand_left.png', 'hand_x': -0.5, 'cue_file_movement': 'images/arrow_up.png', 'movement_y': 0.25, 'target_x': -0.5, 'target_y': 0.25, 'is_valid': 'both', 'correct_key': 'right'}
49.1915 	DATA 	Keypress: right
49.2025 	EXP 	cue_hand: autoDraw = False
49.2025 	EXP 	cue_movement: autoDraw = False
49.2025 	EXP 	target: autoDraw = False
49.2025 	EXP 	cue_hand: pos = array([-0.5,  0. ])
49.2025 	EXP 	cue_hand: image = 'images/hand_left.png'
49.2025 	EXP 	cue_movement: pos = array([0.  , 0.25])
49.2025 	EXP 	cue_movement: image = 'images/arrow_up.png'
49.2025 	EXP 	target: pos = array([-0.5 ,  0.25])
49.3216 	DATA 	Keypress: right
49.4859 	EXP 	cue_hand: autoDraw = True
49.7858 	EXP 	cue_hand: autoDraw = False
50.0859 	EXP 	cue_movement: autoDraw = True
50.3859 	EXP 	cue_movement: autoDraw = False
50.6860 	EXP 	target: autoDraw = True
50.8732 	EXP 	New trial (rep=0, index=2): {'cue_file_hand': 'images/hand_left.png', 'hand_x': -0.5, 'cue_file_movement': 'images/arrow_up.png', 'movement_y': 0.25, 'target_x': 0.5, 'target_y': 0.25, 'is_valid': 'movement', 'correct_key': 'up'}
50.9091 	DATA 	Keypress: right
50.9193 	EXP 	cue_hand: autoDraw = False
50.9193 	EXP 	cue_movement: autoDraw = False
50.9193 	EXP 	target: autoDraw = False
50.9193 	EXP 	cue_hand: pos = array([-0.5,  0. ])
50.9193 	EXP 	cue_hand: image = 'images/hand_left.png'
50.9193 	EXP 	cue_movement: pos = array([0.  , 0.25])
50.9193 	EXP 	cue_movement: image = 'images/arrow_up.png'
50.9193 	EXP 	target: pos = array([0.5 , 0.25])
51.2027 	EXP 	cue_hand: autoDraw = True
51.5026 	EXP 	cue_hand: autoDraw = False
51.8027 	EXP 	cue_movement: autoDraw = True
52.1026 	EXP 	cue_movement: autoDraw = False
52.4027 	EXP 	target: autoDraw = True
52.7571 	EXP 	New trial (rep=0, index=3): {'cue_file_hand': 'images/hand_left.png', 'hand_x': -0.5, 'cue_file_movement': 'images/arrow_up.png', 'movement_y': 0.25, 'target_x': -0.5, 'target_y': 0.25, 'is_valid': 'both', 'correct_key': 'right'}
52.7933 	DATA 	Keypress: up
52.8027 	EXP 	cue_hand: autoDraw = False
52.8027 	EXP 	cue_movement: autoDraw = False
52.8027 	EXP 	target: autoDraw = False
52.8027 	EXP 	cue_hand: pos = array([-0.5,  0. ])
52.8027 	EXP 	cue_hand: image = 'images/hand_left.png'
52.8027 	EXP 	cue_movement: pos = array([0.  , 0.25])
52.8027 	EXP 	cue_movement: image = 'images/arrow_up.png'
52.8027 	EXP 	target: pos = array([-0.5 ,  0.25])
53.0860 	EXP 	cue_hand: autoDraw = True
53.3860 	EXP 	cue_hand: autoDraw = False
53.6860 	EXP 	cue_movement: autoDraw = True
53.9860 	EXP 	cue_movement: autoDraw = False
54.2860 	EXP 	target: autoDraw = True
54.5247 	DATA 	Keypress: right
54.5399 	EXP 	New trial (rep=0, index=4): {'cue_file_hand': 'images/hand_right.png', 'hand_x': 0.5, 'cue_file_movement': 'images/arrow_down.png', 'movement_y': -0.25, 'target_x': -0.5, 'target_y': 0.25, 'is_valid': 'movement', 'correct_key': 'right'}
54.6028 	EXP 	cue_hand: autoDraw = False
54.6028 	EXP 	cue_movement: autoDraw = False
54.6028 	EXP 	target: autoDraw = False
54.6028 	EXP 	cue_hand: pos = array([0.5, 0. ])
54.6028 	EXP 	cue_hand: image = 'images/hand_right.png'
54.6028 	EXP 	cue_movement: pos = array([ 0.  , -0.25])
54.6028 	EXP 	cue_movement: image = 'images/arrow_down.png'
54.6028 	EXP 	target: pos = array([-0.5 ,  0.25])
54.8860 	EXP 	cue_hand: autoDraw = True
55.1860 	EXP 	cue_hand: autoDraw = False
55.4861 	EXP 	cue_movement: autoDraw = True
55.7861 	EXP 	cue_movement: autoDraw = False
56.0861 	EXP 	target: autoDraw = True
56.4235 	EXP 	New trial (rep=0, index=5): {'cue_file_hand': 'images/hand_left.png', 'hand_x': -0.5, 'cue_file_movement': 'images/arrow_up.png', 'movement_y': 0.25, 'target_x': -0.5, 'target_y': 0.25, 'is_valid': 'both', 'correct_key': 'right'}
56.4593 	DATA 	Keypress: right
56.4694 	EXP 	cue_hand: autoDraw = False
56.4694 	EXP 	cue_movement: autoDraw = False
56.4694 	EXP 	target: autoDraw = False
56.4694 	EXP 	cue_hand: pos = array([-0.5,  0. ])
56.4694 	EXP 	cue_hand: image = 'images/hand_left.png'
56.4694 	EXP 	cue_movement: pos = array([0.  , 0.25])
56.4694 	EXP 	cue_movement: image = 'images/arrow_up.png'
56.4694 	EXP 	target: pos = array([-0.5 ,  0.25])
56.7528 	EXP 	cue_hand: autoDraw = True
57.0528 	EXP 	cue_hand: autoDraw = False
57.3528 	EXP 	cue_movement: autoDraw = True
57.6528 	EXP 	cue_movement: autoDraw = False
57.9528 	EXP 	target: autoDraw = True
58.2400 	EXP 	New trial (rep=0, index=6): {'cue_file_hand': 'images/hand_right.png', 'hand_x': 0.5, 'cue_file_movement': 'images/arrow_up.png', 'movement_y': 0.25, 'target_x': 0.5, 'target_y': 0.25, 'is_valid': 'both', 'correct_key': 'up'}
58.2748 	DATA 	Keypress: right
58.2862 	EXP 	cue_hand: autoDraw = False
58.2862 	EXP 	cue_movement: autoDraw = False
