"response.keys" "response.rt" "is_valid" "participant" "dominant_hand" "age" "gender" "target_x" "target_y" "hand_x" "movement_y"
"1" "down" 0.528 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"2" "left" 0.564 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"3" "right" 0.481 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"4" "left" 0.415 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"5" "left" 0.498 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"6" "left" 0.57 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"7" "down" 0.383 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"8" "up" 0.333 "none" 1 "r" 22 "m" 0.5 0.25 0.5 -0.25
"9" "down" 0.4 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"10" "up" 0.532 "none" 1 "r" 22 "m" 0.5 0.25 -0.5 -0.25
"11" "down" 0.432 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"12" "down" 0.65 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"13" "up" 0.349 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"14" "right" 0.382 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"15" "left" 0.388 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"16" "left" 0.368 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"17" "right" 0.499 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"18" "down" 0.451 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"19" "up" 0.397 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"20" "right" 0.363 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"21" "up" 0.297 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"22" "down" 0.381 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"23" "left" 0.3 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"24" "right" 0.369 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"25" "right" 0.418 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"26" "right" 0.448 "none" 1 "r" 22 "m" -0.5 -0.25 0.5 0.25
"27" "right" 0.517 "none" 1 "r" 22 "m" -0.5 -0.25 0.5 0.25
"28" "left" 0.452 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"29" "up" 0.287 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"30" "right" 0.38 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"31" "down" 0.501 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"32" "up" 0.481 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"33" "up" 0.468 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"34" "down" 0.615 "none" 1 "r" 22 "m" 0.5 -0.25 -0.5 0.25
"35" "down" 0.416 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"36" "left" 0.385 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"37" "left" 0.416 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"38" "up" 0.364 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"39" "left" 0.317 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"40" "down" 0.317 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"41" "right" 0.632 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"42" "left" 0.547 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"43" "down" 0.381 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"44" "down" 0.486 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"45" "left" 0.416 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"46" "up" 0.329 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"47" "left" 0.417 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"48" "down" 0.382 "none" 1 "r" 22 "m" 0.5 -0.25 -0.5 0.25
"49" "left" 0.346 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"50" "left" 0.33 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"51" "left" 0.418 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"52" "left" 0.499 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"53" "down" 0.399 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"54" "right" 0.396 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"55" "up" 0.482 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"56" "left" 0.359 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"57" "down" 0.467 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"58" "up" 0.399 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"59" "right" 0.45 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"60" "left" 0.422 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"61" "up" 0.37 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"62" "right" 0.646 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"63" "up" 0.313 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"64" "down" 0.535 "hand" 1 "r" 22 "m" 0.5 -0.25 0.5 0.25
"65" "right" 0.414 "hand" 1 "r" 22 "m" -0.5 -0.25 0.5 -0.25
"66" "down" 0.425 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"67" "down" 0.369 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"68" "left" 0.566 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"69" "right" 0.489 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"70" "down" 0.385 "none" 1 "r" 22 "m" 0.5 -0.25 -0.5 0.25
"71" "right" 0.398 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"72" "right" 0.332 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"73" "right" 0.367 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"74" "down" 0.401 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"75" "up" 0.448 "both" 1 "r" 22 "m" 0.5 0.25 0.5 0.25
"76" "left" 0.465 "hand" 1 "r" 22 "m" -0.5 0.25 -0.5 -0.25
"77" "up" 0.446 "none" 1 "r" 22 "m" 0.5 0.25 0.5 -0.25
"78" "right" 0.468 "none" 1 "r" 22 "m" -0.5 -0.25 0.5 0.25
"79" "left" 0.801 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"80" "right" 0.353 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"81" "right" 0.382 "hand" 1 "r" 22 "m" -0.5 -0.25 -0.5 0.25
"82" "down" 0.498 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
"83" "up" 0.444 "movement" 1 "r" 22 "m" 0.5 0.25 -0.5 0.25
"84" "left" 0.4 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 -0.25
"85" "down" 0.422 "movement" 1 "r" 22 "m" 0.5 -0.25 -0.5 -0.25
"86" "left" 0.447 "movement" 1 "r" 22 "m" -0.5 0.25 0.5 0.25
"87" "right" 0.569 "both" 1 "r" 22 "m" -0.5 -0.25 -0.5 -0.25
"88" "left" 0.447 "both" 1 "r" 22 "m" -0.5 0.25 -0.5 0.25
"89" "down" 0.333 "both" 1 "r" 22 "m" 0.5 -0.25 0.5 -0.25
